;Waktu;Jalan;Lat;Long;JarakLampu;Tahun
Sabtu, 03 Maret 2018 Jam. 17.00 Wib;siang;ArteriPrimer;-7.570316667;111.8520806;398.8408259;2018
Sabtu, 03 Maret 2018 Jam. 18.45 Wib;malam;KolektorPrimer;-7.589830556;111.8913556;115.8362526;2018
Minggu, 04 Maret 2018 Jam. 11.00 Wib;siang;Lokal;-7.666566667;111.8979194;2392.629761;2018
Minggu, 04 Maret 2018 Jam. 18.00 Wib;malam;KolektorPrimer;-7.68365;111.9264639;220.5779126;2018
Senin, 05 Maret 2018 Jam. 09.30 Wib;siang;Lokal;-7.559327778;112.113025;599.5741944;2018
Senin, 05 Maret 2018 Jam. 13.30 Wib;siang;KolektorPrimer;-7.650994444;111.8975417;426.1266901;2018
Senin, 05 Maret 2018 Jam. 12.30 Wib;siang;KolektorSekunder;-7.698594444;111.7918611;7065.921769;2018
Rabu, 07 Maret 2018 Jam. 18.00 Wib;malam;KolektorPrimer;-7.681319444;111.9250361;170.4843189;2018
Jumat, 09 Maret 2018 Jam. 12.00 Wib;siang;KolektorSekunder;-7.692033333;112.0361083;1417.650418;2018
Jumat, 09 Maret 2018 Jam. 16.30 Wib;siang;ArteriPrimer;-7.605491667;111.9989611;1.820496326;2018
Sabtu, 10 Maret 2018 Jam. 18.00 Wib;malam;KolektorPrimer;-7.651666667;112.0130944;1224.813492;2018
Minggu, 11 Maret 2018 Jam. 11.00 Wib;siang;KolektorSekunder;-7.628863889;111.9001333;522.318887;2018
Minggu, 11 Maret 2018 Jam. 12.00 Wib;siang;KolektorPrimer;-7.696991667;111.9248722;1744.185363;2018
Minggu, 11 Maret 2018 Jam. 17.35 Wib;siang;KolektorSekunder;-7.658844444;111.873175;418.7862288;2018
Senin, 12 Maret 2018 Jam. 03.00 Wib;malam;ArteriPrimer;-7.602255556;111.9451222;142.8132305;2018
Selasa, 13 Maret 2018 Jam. 12.00 Wib;siang;KolektorPrimer;-7.678291667;112.0162611;1042.706922;2018
Selasa, 13 Maret 2018 Jam. 20.45 Wib ;malam;KolektorSekunder;-7.6571;111.9566972;106.8162872;2018
Rabu, 14 Maret 2018 Jam. 00.30 Wib;malam;ArteriPrimer;-7.586936111;111.8834528;653.5151619;2018
Rabu, 14 Maret 2018 Jam. 20.00 Wib;malam;ArteriPrimer;-7.603575;111.9630583;2128.657392;2018
Jumat, 16 Maret 2018 Jam. 06.45 Wib;siang;ArteriPrimer;-7.602816667;111.9528556;999.1886858;2018
Jumat, 16 Maret 2018 Jam. 07.50 Wib;siang;Lokal;-7.628602778;112.0952278;3211.874544;2018
Jumat, 16 Maret 2018 Jam. 15.00 Wib;siang;ArteriPrimer;-7.606319444;112.0648111;1360.910731;2018
Jumat, 16 Maret 2018 Jam. 21.00 Wib;malam;ArteriPrimer;-7.601791667;111.9380944;642.9786425;2018
Sabtu, 17 Maret 2018 Jam. 12.00 Wib;siang;KolektorPrimer;-7.649305556;111.8989639;44.31759057;2018
Sabtu, 17 Maret 2018 Jam. 16.30 Wib;siang;KolektorPrimer;-7.619769444;111.8978222;54.73251879;2018
Sabtu, 17 Maret 2018 Jam. 17.00 Wib;siang;KolektorPrimer;-7.525802778;111.8944861;2774.932488;2018
Sabtu, 17 Maret 2018 Jam. 23.15 Wib;malam;ArteriPrimer;-7.590486111;111.890775;33.65447063;2018
Minggu, 18 Maret 2018 Jam. 00.30 Wib;malam;ArteriPrimer;-7.600094444;112.1013222;378.2351403;2018
Senin, 19 Maret 2018 Jam. 13.15 Wib;siang;KolektorPrimer;-7.652458333;111.9071694;454.2945216;2018
Senin, 19 Maret 2018 Jam. 14.00 Wib;siang;Lokal;-7.539;112.1120472;2151.077586;2018
Selasa, 20 Maret 2018 Jam. 14.30 Wib;siang;ArteriPrimer;-7.5599;111.8101639;3413.172381;2018
Selasa, 20 Maret 2018 Jam. 17.30 Wib;siang;KolektorPrimer;-7.629277778;112.0182694;23.09491466;2018
Selasa, 20 Maret 2018 Jam. 18.45 Wib;malam;ArteriPrimer;-7.603558333;111.9658639;2436.443657;2018
Selasa, 20 Maret 2018 Jam. 17.15 Wib;siang;KolektorSekunder;-7.523569444;112.0950583;2545.922773;2018
Rabu, 21 Maret 2018 Jam. 09.00 Wib;siang;KolektorPrimer;-7.739091667;112.0197611;2266.053855;2018
Kamis, 22 Maret 2018 Jam. 05.45 Wib;malam;Lokal;-7.640527778;111.9335556;1711.925623;2018
